web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1592862325-174","https://www.thegoodparty.org/scrape/incumbents/","N00042894","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042894","Madeleine Dean","Rep. Madeleine Dean - Pennsylvania District 04","05/13/2020","$686,148","https://cdn1.opensecrets.org/congress-members/photos/N00042894.jpg"
"1592862158-142","https://www.thegoodparty.org/scrape/incumbents/","N00003689","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00003689","Steve Chabot","Rep. Steve Chabot - Ohio District 01","04/08/2020","$1,713,981","https://cdn1.opensecrets.org/congress-members/photos/N00003689.jpg"
"1592862696-266","https://www.thegoodparty.org/scrape/incumbents/","N00040667","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00040667","Mike Levin","Rep. Mike Levin - California District 49","03/31/2020","$2,483,571","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592863022-352","https://www.thegoodparty.org/scrape/incumbents/","N00037003","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037003","Trent Kelly","Rep. Trent Kelly - Mississippi District 01","03/31/2020","$522,430","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592863217-408","https://www.thegoodparty.org/scrape/incumbents/","N00033410","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033410","Markwayne Mullin","Rep. Markwayne Mullin - Oklahoma District 02","06/10/2020","$1,245,786","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861628-34","https://www.thegoodparty.org/scrape/incumbents/","N00033640","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033640","Hakeem Jeffries","Rep. Hakeem Jeffries - New York District 08","06/03/2020","$3,536,311","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862795-293","https://www.thegoodparty.org/scrape/incumbents/","N00033527","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033527","David Rouzer","Rep. David Rouzer - North Carolina District 07","03/31/2020","$1,143,928","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861568-8","https://www.thegoodparty.org/scrape/incumbents/","N00035927","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035927","Kathleen Rice","Rep. Kathleen Rice - New York District 04","06/03/2020","$793,866","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861613-29","https://www.thegoodparty.org/scrape/incumbents/","N00034277","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00034277","Sean Patrick Maloney","Rep. Sean Patrick Maloney - New York District 18","06/03/2020","$1,727,748","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862221-154","https://www.thegoodparty.org/scrape/incumbents/","N00038779","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00038779","Brian Fitzpatrick","Rep. Brian Fitzpatrick - Pennsylvania District 01","05/13/2020","$2,750,928","https://cdn1.opensecrets.org/congress-members/photos/N00038779.jpg"
"1592861553-1","https://www.thegoodparty.org/scrape/incumbents/","N00041162","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041162","Alexandria Ocasio-Cortez","Rep. Alexandria Ocasio-Cortez - New York District 14","06/03/2020","$10,864,797","https://cdn1.opensecrets.org/congress-members/photos/N00041162.jpg"
"1592863239-415","https://www.thegoodparty.org/scrape/incumbents/","N00037049","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037049","Don Bacon","Rep. Don Bacon - Nebraska District 02","04/22/2020","$1,912,955","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862368-183","https://www.thegoodparty.org/scrape/incumbents/","N00035278","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035278","Katherine Clark","Rep. Katherine Clark - Massachusetts District 05","03/31/2020","$1,451,658","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861703-50","https://www.thegoodparty.org/scrape/incumbents/","N00037031","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037031","Darin LaHood","Rep. Darin LaHood - Illinois District 18","03/31/2020","$2,300,445","https://cdn1.opensecrets.org/congress-members/photos/N00037031.jpg"
"1592863201-403","https://www.thegoodparty.org/scrape/incumbents/","N00041750","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041750","Greg Stanton","Rep. Greg Stanton - Arizona District 09","03/31/2020","$1,095,029","https://cdn1.opensecrets.org/congress-members/photos/N00041750.jpg"
"1592862802-295","https://www.thegoodparty.org/scrape/incumbents/","N00040933","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00040933","Debra Haaland","Rep. Debra Haaland - New Mexico District 01","05/13/2020","$1,238,054","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862567-233","https://www.thegoodparty.org/scrape/incumbents/","N00037015","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037015","Salud Carbajal","Rep. Salud Carbajal - California District 24","03/31/2020","$1,731,102","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862829-302","https://www.thegoodparty.org/scrape/incumbents/","N00035451","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035451","Alma Adams","Rep. Alma Adams - North Carolina District 12","03/31/2020","$485,727","https://cdn1.opensecrets.org/congress-members/photos/N00035451.jpg"
"1592861965-105","https://www.thegoodparty.org/scrape/incumbents/","N00039330","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039330","Mike Gallagher","Rep. Mike Gallagher - Wisconsin District 08","03/31/2020","$2,225,222","https://cdn1.opensecrets.org/congress-members/photos/N00039330.jpg"
"1592861609-27","https://www.thegoodparty.org/scrape/incumbents/","N00040741","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00040741","Antonio Delgado","Rep. Antonio Delgado - New York District 19","06/03/2020","$3,839,539","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862956-336","https://www.thegoodparty.org/scrape/incumbents/","N00013817","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00013817","Chellie Pingree","Rep. Chellie Pingree - Maine District 01","03/31/2020","$252,731","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862638-250","https://www.thegoodparty.org/scrape/incumbents/","N00033508","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033508","Eric Swalwell","Rep. Eric Swalwell - California District 15","03/31/2020","$1,954,392","https://cdn1.opensecrets.org/congress-members/photos/N00033508.jpg"
"1592861883-88","https://www.thegoodparty.org/scrape/incumbents/","N00041335","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041335","Russ Fulcher","Rep. Russ Fulcher - Idaho District 01","04/29/2020","$316,523","https://cdn1.opensecrets.org/congress-members/photos/N00041335.jpg"
"1592861901-92","https://www.thegoodparty.org/scrape/incumbents/","N00033316","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033316","Joaquin Castro","Rep. Joaquin Castro - Texas District 20","03/31/2020","$381,700","https://cdn1.opensecrets.org/congress-members/photos/N00033316.jpg"
"1592862502-217","https://www.thegoodparty.org/scrape/incumbents/","N00033832","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033832","Tom Rice","Rep. Tom Rice - South Carolina District 07","05/20/2020","$1,184,388","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
