web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1586561021-1556","http://localhost:4000/scrape/incumbents/","N00027060","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00027060","Brian M Higgins","Rep. Brian M Higgins - New York District 26","12/31/2019","$698,570","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561632-1809","http://localhost:4000/scrape/incumbents/","N00036107","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00036107","Norma Torres","Rep. Norma Torres - California District 35","02/12/2020","$368,619","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561288-1663","http://localhost:4000/scrape/incumbents/","N00029649","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00029649","Jackie Speier","Rep. Jackie Speier - California District 14","02/12/2020","$508,183","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561380-1700","http://localhost:4000/scrape/incumbents/","N00035691","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035691","Gary Palmer","Rep. Gary Palmer - Alabama District 06","02/12/2020","$674,678","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560904-1506","http://localhost:4000/scrape/incumbents/","N00031317","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031317","Ted Deutch","Rep. Ted Deutch - Florida District 22","12/31/2019","$756,552","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561447-1729","http://localhost:4000/scrape/incumbents/","N00040888","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00040888","Abby Finkenauer","Rep. Abby Finkenauer - Iowa District 01","12/31/2019","$1,918,090","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561204-1630","http://localhost:4000/scrape/incumbents/","N00009585","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00009585","Adam Schiff","Rep. Adam Schiff - California District 28","02/12/2020","$9,802,381","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560750-1440","http://localhost:4000/scrape/incumbents/","N00000751","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00000751","Bill Pascrell Jr.","Rep. Bill Pascrell Jr. - New Jersey District 09","12/31/2019","$915,859","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561057-1570","http://localhost:4000/scrape/incumbents/","N00031233","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031233","Andy Barr","Rep. Andy Barr - Kentucky District 06","12/31/2019","$2,102,158","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561006-1549","http://localhost:4000/scrape/incumbents/","N00025337","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00025337","Mario Diaz-Balart","Rep. Mario Diaz-Balart - Florida District 25","12/31/2019","$1,005,471","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560732-1432","http://localhost:4000/scrape/incumbents/","N00041002","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041002","Jennifer Wexton","Rep. Jennifer Wexton - Virginia District 10","12/31/2019","$1,892,150","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561163-1613","http://localhost:4000/scrape/incumbents/","N00003522","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00003522","Marcy Kaptur","Rep. Marcy Kaptur - Ohio District 09","02/26/2020","$624,871","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561223-1638","http://localhost:4000/scrape/incumbents/","N00039533","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039533","John Bergman","Rep. John Bergman - Michigan District 01","12/31/2019","$989,239","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561394-1706","http://localhost:4000/scrape/incumbents/","N00003225","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00003225","Steve Cohen","Rep. Steve Cohen - Tennessee District 09","03/31/2020","$369,017","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561051-1568","http://localhost:4000/scrape/incumbents/","N00041843","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041843","Tom Malinowski","Rep. Tom Malinowski - New Jersey District 07","12/31/2019","$2,330,706","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561095-1585","http://localhost:4000/scrape/incumbents/","N00025482","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00025482","Dutch Ruppersberger","Rep. Dutch Ruppersberger - Maryland District 02","12/31/2019","$613,695","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560865-1489","http://localhost:4000/scrape/incumbents/","N00013323","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00013323","Sam Graves","Rep. Sam Graves - Missouri District 06","12/31/2019","$1,241,352","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560876-1494","http://localhost:4000/scrape/incumbents/","N00000515","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00000515","Peter Welch","Rep. Peter Welch - Vermont District 01","12/31/2019","$371,095","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561399-1708","http://localhost:4000/scrape/incumbents/","N00042194","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042194","Troy Balderson","Rep. Troy Balderson - Ohio District 12","02/26/2020","$1,212,592","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561081-1580","http://localhost:4000/scrape/incumbents/","N00034128","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00034128","Matt Cartwright","Rep. Matt Cartwright - Pennsylvania District 08","12/31/2019","$1,226,819","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561639-1812","http://localhost:4000/scrape/incumbents/","N00030910","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030910","Mo Brooks","Rep. Mo Brooks - Alabama District 05","02/12/2020","$313,610","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560695-1414","http://localhost:4000/scrape/incumbents/","N00003389","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00003389","Mitch McConnell","Sen. Mitch McConnell - Kentucky","12/31/2019","$21,998,860","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561117-1594","http://localhost:4000/scrape/incumbents/","N00031226","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031226","Jackie Walorski","Rep. Jackie Walorski - Indiana District 02","12/31/2019","$1,399,970","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561531-1765","http://localhost:4000/scrape/incumbents/","N00030600","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030600","Judy Chu","Rep. Judy Chu - California District 27","02/12/2020","$754,891","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560855-1485","http://localhost:4000/scrape/incumbents/","N00040865","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00040865","Katie Porter","Rep. Katie Porter - California District 45","02/12/2020","$3,825,560","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560926-1515","http://localhost:4000/scrape/incumbents/","N00033363","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033363","Tom Cotton","Sen. Tom Cotton - Arkansas","02/12/2020","$7,747,980","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561376-1698","http://localhost:4000/scrape/incumbents/","N00037036","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037036","Jamie Raskin","Rep. Jamie Raskin - Maryland District 08","12/31/2019","$1,643,350","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561161-1612","http://localhost:4000/scrape/incumbents/","N00027623","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00027623","Adrian Smith","Rep. Adrian Smith - Nebraska District 03","12/31/2019","$751,490","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561168-1615","http://localhost:4000/scrape/incumbents/","N00026961","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026961","Yvette D Clarke","Rep. Yvette D Clarke - New York District 09","12/31/2019","$575,150","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561419-1717","http://localhost:4000/scrape/incumbents/","N00041400","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041400","Joe Cunningham","Rep. Joe Cunningham - South Carolina District 01","12/31/2019","$2,668,099","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561187-1623","http://localhost:4000/scrape/incumbents/","N00035544","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035544","Ben Sasse","Sen. Ben Sasse - Nebraska","12/31/2019","$6,136,285","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561405-1711","http://localhost:4000/scrape/incumbents/","N00041370","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041370","Andy Kim","Rep. Andy Kim - New Jersey District 03","12/31/2019","$2,598,242","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560816-1468","http://localhost:4000/scrape/incumbents/","N00025237","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00025237","Steven A. King","Rep. Steven A. King - Iowa District 04","12/31/2019","$258,455","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560743-1437","http://localhost:4000/scrape/incumbents/","N00033987","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033987","Doug LaMalfa","Rep. Doug LaMalfa - California District 01","02/12/2020","$713,963","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561209-1632","http://localhost:4000/scrape/incumbents/","N00030602","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030602","Roger Williams","Rep. Roger Williams - Texas District 25","02/12/2020","$1,292,334","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560785-1455","http://localhost:4000/scrape/incumbents/","N00030642","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030642","Al Lawson","Rep. Al Lawson - Florida District 05","12/31/2019","$258,525","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561185-1622","http://localhost:4000/scrape/incumbents/","N00031958","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031958","Steven Palazzo","Rep. Steven Palazzo - Mississippi District 04","02/19/2020","$482,094","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561525-1763","http://localhost:4000/scrape/incumbents/","N00041668","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041668","Jared Golden","Rep. Jared Golden - Maine District 02","12/31/2019","$1,528,243","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561298-1667","http://localhost:4000/scrape/incumbents/","N00041690","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041690","Anthony Gonzalez","Rep. Anthony Gonzalez - Ohio District 16","02/26/2020","$1,346,783","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561276-1658","http://localhost:4000/scrape/incumbents/","N00042811","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042811","Donna Shalala","Rep. Donna Shalala - Florida District 27","12/31/2019","$1,709,664","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561246-1647","http://localhost:4000/scrape/incumbents/","N00029147","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00029147","Andy Harris","Rep. Andy Harris - Maryland District 01","12/31/2019","$831,299","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560846-1481","http://localhost:4000/scrape/incumbents/","N00041335","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041335","Russ Fulcher","Rep. Russ Fulcher - Idaho District 01","12/31/2019","$240,301","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560936-1519","http://localhost:4000/scrape/incumbents/","N00002577","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00002577","John Lewis","Rep. John Lewis - Georgia District 05","12/31/2019","$2,024,860","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561587-1789","http://localhost:4000/scrape/incumbents/","N00029459","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00029459","Rob Wittman","Rep. Rob Wittman - Virginia District 01","12/31/2019","$793,165","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561039-1563","http://localhost:4000/scrape/incumbents/","N00002097","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00002097","Mark Warner","Sen. Mark Warner - Virginia","12/31/2019","$13,613,998","https://cdn1.opensecrets.org/congress-members/photos/N00002097.jpg"
"1586561134-1601","http://localhost:4000/scrape/incumbents/","N00006863","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00006863","Tom McClintock","Rep. Tom McClintock - California District 04","02/12/2020","$1,031,069","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561438-1725","http://localhost:4000/scrape/incumbents/","N00012233","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00012233","Robert E Latta","Rep. Robert E Latta - Ohio District 05","02/26/2020","$982,101","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560924-1514","http://localhost:4000/scrape/incumbents/","N00042126","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042126","Steve Watkins","Rep. Steve Watkins - Kansas District 02","12/31/2019","$738,845","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
