web-scraper-order,web-scraper-start-url,link,link-href,name,raised,smallIndividual,largeContributions,pac,selfFinancing,other
"1582360942-259","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX24&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX24&spec=N","Sunny Chaparala (R)","325,676","1,116","2,800","$0","321,760","0"
"1582360843-131","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA07&spec=N","Jon Ivy (R)","9,625","125","5,500","$0","8,500","4,500"
"1582361324-675","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ04&spec=N","Emily Robinson (R)","240,267","60","0","$0","240,207","0"
"1582361319-663","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA02&spec=N","Scott Taylor (R)","629,211","151,992","468,229","$12,000","0","3,010"
"1582360972-311","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX15&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX15&spec=N","Ryan Krause (R)","35,581","1,040","34,541","$0","0","0"
"1582361167-538","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN04&spec=N","Sia Lo (R)","1,500","0","0","$0","1,500","0"
"1582361272-622","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KY02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KY02&spec=N","Robert Lee Perry (L)","5,517","0","5,517","$0","0","0"
"1582361070-396","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX17&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX17&spec=N","Elianor Vessali (R)","274,380","10,130","73,250","$3,000","190,000","2,000"
"1582361697-1050","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS01&spec=N","Kali Barnett (D)","164,533","33,978","129,555","$1,000","0","0"
"1582361398-755","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MSS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MSS1&spec=N","Mike Espy (D)","193,927","96,968","100,986","$17,500","0","21,527"
"1582361372-731","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA14&spec=N","Ben Bullock (R)","284,817","5,706","283,805","$907","0","5,600"
"1582361257-614","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","Albert Wiley Jr. (R)","1,802","0","0","$0","1,802","0"
"1582361017-352","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IA04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IA04&spec=N","Bret Richards (R)","255,888","10,241","22,055","$5,600","217,992","0"
"1582360998-333","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TN04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TN04&spec=N","Doug Meyer (R)","7,854","422","460","$0","6,972","0"
"1582361257-612","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","Michael O'Shea (D)","16,637","3,137","3,500","$0","10,000","0"
"1582361103-466","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","Hillary Scholten (D)","361,114","87,670","251,894","$21,550","0","0"
"1582361744-1113","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","Brigid Callahan Harrison (D)","45,595","19,470","26,125","$0","0","0"
"1582361528-889","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY17&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY17&spec=N","David Buchwald (D)","543,228","29,088","251,390","$7,150","255,600","0"
"1582360832-111","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CO03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CO03&spec=N","Diane Mitsch Bush (D)","419,023","103,210","311,079","$1,000","7,336","3,602"
"1582361078-430","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NV04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NV04&spec=N","Leo Blundo (R)","46,923","1,145","45,778","$0","0","0"
"1582360861-156","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA13&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA13&spec=N","Michael Owens (D)","45,530","2,069","31,761","$0","0","11,700"
"1582360784-58","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL02&spec=N","Phyllis Harvey-Hall (D)","4,909","0","0","$0","4,909","0"
"1582361691-1047","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA07&spec=N","Dean Browning (R)","300,421","6,016","129,405","$0","165,000","0"
"1582360950-280","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX31&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX31&spec=N","Eric Hanke (D)","46,390","8,579","30,006","$0","3,805","4,000"
"1582360982-321","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ12&spec=N","Zadok Rubin (3)","3","3","0","$0","0","0"
"1582361455-811","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN05&spec=N","Ervan Katari Miller (I)","255","0","200","$0","55","0"
"1582360804-82","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","Joe Profit (R)","124,708","54,133","33,375","$0","37,200","0"
"1582361364-720","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA06&spec=N","John Emmons (R)","294,390","12,427","34,325","$0","247,638","0"
"1582361687-1046","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT03&spec=N","Russel Fugal (I)","393","191","202","$0","0","0"
"1582361094-452","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA04&spec=N","Becky Grossman (D)","406,614","34,799","369,542","$2,000","273","0"
"1582361577-928","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA03&spec=N","Carolyn Long (D)","1,060,068","251,572","738,713","$70,500","0","717"
"1582360880-204","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KY06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KY06&spec=N","Josh Hicks (D)","382,198","31,575","338,823","$14,100","0","2,300"
"1582361426-790","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NES2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NES2&spec=N","Dennis Frank Macek (L)","11,000","0","0","$0","11,000","0"
"1582361115-483","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN07&spec=N","Michelle Fischbach (R)","364,417","61,391","200,154","$96,644","2,966","3,261"
"1582361593-945","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","Daniel Beckstrand (D)","5,206","281","0","$0","4,925","0"
"1582361734-1105","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH05&spec=N","Michael Xavier Carrigan (D)","2,885","1,370","850","$0","615","50"
