name,state,category
Judicial_Appellate_District,NE,Judicial
Judicial_County_Court_District,NE,Judicial
Judicial_District_Court_District,NE,Judicial
Judicial_Juvenile_Court_District,NE,Judicial
Judicial_Supreme_Court_District,NE,Judicial
Fire_District,NE,Fire
Metro_Transit_District,NE,Transit
Airport_District,NE,Misc
Cemetery_District,NE,Misc
Conservation_District,NE,Misc
Conservation_SubDistrict,NE,Misc
Designated_Market_Area_DMA,NE,Misc
Educational_Service_Subdistrict,NE,Misc
Learning_Community_Coordinating_Council_District,NE,Misc
Power_District,NE,Misc
Public_Service_Commission_District,NE,Misc
Public_Utility_District,NE,Misc
Reclamation_District,NE,Misc
Road_Maintenance_District,NE,Misc
Weed_District,NE,Misc
City_Council_Commissioner_District,NV,City
County_Commissioner_District,NV,County
County_Supervisorial_District,NV,County
US_Congressional_District,NV,State
State_Senate_District,NV,State
State_House_District,NV,State
College_Board_District,NV,Education
Educational_Service_District,NV,Education
School_District,NV,Education
Fire_District,NV,Fire
Designated_Market_Area_DMA,NV,Misc
City_Council_Commissioner_District,NH,City
County_Commissioner_District,NH,County
County_Supervisorial_District,NH,County
US_Congressional_District,NH,State
State_Senate_District,NH,State
State_House_District,NH,State
Elementary_School_District,NH,Education
High_School_District,NH,Education
Unified_School_District,NH,Education
Central_Committee_District,NH,Misc
Designated_Market_Area_DMA,NH,Misc
City_Council_Commissioner_District,NJ,City
County_Commissioner_District,NJ,County
County_Supervisorial_District,NJ,County
US_Congressional_District,NJ,State
State_Senate_District,NJ,State
State_House_District,NJ,State
City_School_District,NJ,Education
Elementary_School_District,NJ,Education
High_School_District,NJ,Education
School_District,NJ,Education
School_Subdistrict,NJ,Education
Fire_District,NJ,Fire
Designated_Market_Area_DMA,NJ,Misc
City_Council_Commissioner_District,NM,City
County_Commissioner_District,NM,County
County_Supervisorial_District,NM,County
US_Congressional_District,NM,State
State_Senate_District,NM,State
State_House_District,NM,State
City_School_District,NM,Education
College_Board_District,NM,Education
Community_College,NM,Education
Community_College_SubDistrict,NM,Education
Education_Commission_District,NM,Education
School_Board_District,NM,Education
School_District,NM,Education
Judicial_District_Court_District,NM,Judicial
Judicial_Magistrate_Division,NM,Judicial
Conservation_District,NM,Misc
Designated_Market_Area_DMA,NM,Misc
Flood_Control_Zone,NM,Misc
Hospital_SubDistrict,NM,Misc
Public_Regulation_Commission,NM,Misc
City_Council_Commissioner_District,NY,City
County_Commissioner_District,NY,County
County_Supervisorial_District,NY,County
US_Congressional_District,NY,State
State_Senate_District,NY,State
State_House_District,NY,State
School_Board_District,NY,Education
Unified_School_District,NY,Education
Judicial_Magistrate_Division,NY,Judicial
Designated_Market_Area_DMA,NY,Misc
Other,NY,Misc
City_Council_Commissioner_District,NC,City
County_Commissioner_District,NC,County
County_Supervisorial_District,NC,County
US_Congressional_District,NC,State
State_Senate_District,NC,State
State_House_District,NC,State
Board_of_Education_District,NC,Education
District_Attorney,NC,Judicial
Judicial_District_Court_District,NC,Judicial
Judicial_Superior_Court_District,NC,Judicial
Water_District,NC,Water
Fire_District,NC,Fire
Designated_Market_Area_DMA,NC,Misc
Sanitary_District,NC,Misc
Sewer_District,NC,Misc
City_Council_Commissioner_District,ND,City
County_Commissioner_District,ND,County
County_Supervisorial_District,ND,County
State_Senate_District,ND,State
State_House_District,ND,State
School_District,ND,Education
Judicial_District,ND,Judicial
Water_Conservation_District,ND,Water
Fire_District,ND,Fire
Conservation_District,ND,Misc
Designated_Market_Area_DMA,ND,Misc
Park_District,ND,Misc
City_Council_Commissioner_District,OH,City
Proposed_City_Commissioner_District,OH,City
County_Commissioner_District,OH,County
County_Supervisorial_District,OH,County
US_Congressional_District,OH,State
State_Senate_District,OH,State
State_House_District,OH,State
City_School_District,OH,Education
Board_of_Education_District,OH,Education
Educational_Service_District,OH,Education
School_District,OH,Education
School_District_Vocational,OH,Education
Judicial_Appellate_District,OH,Judicial
Designated_Market_Area_DMA,OH,Misc
City_Council_Commissioner_District,OK,City
County_Commissioner_District,OK,County
County_Supervisorial_District,OK,County
US_Congressional_District,OK,State
State_Senate_District,OK,State
State_House_District,OK,State
School_District,OK,Education
School_District_Vocational,OK,Education
School_Subdistrict,OK,Education
Designated_Market_Area_DMA,OK,Misc
City_Council_Commissioner_District,OR,City
County_Commissioner_District,OR,County
County_Supervisorial_District,OR,County
US_Congressional_District,OR,State
State_Senate_District,OR,State
State_House_District,OR,State
Community_College,OR,Education
Community_College_SubDistrict,OR,Education
Educational_Service_District,OR,Education
School_District,OR,Education
School_Subdistrict,OR,Education
District_Attorney,OR,Judicial
Judicial_County_Court_District,OR,Judicial
Judicial_District_Court_District,OR,Judicial
Water_Conservation_District,OR,Water
Water_District,OR,Water
Water_SubDistrict,OR,Water
Fire_District,OR,Fire
Fire_SubDistrict,OR,Fire
Transit_District,OR,Transit
Transit_SubDistrict,OR,Transit
Airport_District,OR,Misc
Annexation_District,OR,Misc
Cemetery_District,OR,Misc
Communications_District,OR,Misc
Designated_Market_Area_DMA,OR,Misc
Educational_Service_Subdistrict,OR,Misc
Emergency_Communication_911_District,OR,Misc
Emergency_Communication_911_SubDistrict,OR,Misc
Health_District,OR,Misc
Improvement_Landowner_District,OR,Misc
Library_District,OR,Misc
Library_SubDistrict,OR,Misc
Metro_Service_Subdistrict,OR,Misc
Municipal_Utility_District,OR,Misc
Municipal_Utility_SubDistrict,OR,Misc
Other,OR,Misc
Paramedic_District,OR,Misc
Park_District,OR,Misc
Police_District,OR,Misc
Port_District,OR,Misc
Port_SubDistrict,OR,Misc
Public_Utility_District,OR,Misc
Public_Utility_SubDistrict,OR,Misc
Recreation_District,OR,Misc
Recreational_SubDistrict,OR,Misc
Road_Maintenance_District,OR,Misc
Rural_Service_District,OR,Misc
Sanitary_District,OR,Misc
Sewer_District,OR,Misc
Special_Tax_District,OR,Misc
Unincorporated_District,OR,Misc
Vector_Control_District,OR,Misc
City_Council_Commissioner_District,PA,City
County_Commissioner_District,PA,County
County_Supervisorial_District,PA,County
US_Congressional_District,PA,State
State_Senate_District,PA,State
State_House_District,PA,State
School_District,PA,Education
School_Subdistrict,PA,Education
Judicial_Magistrate_Division,PA,Judicial
Assessment_District,PA,Misc
Democratic_Zone,PA,Misc
Designated_Market_Area_DMA,PA,Misc
Other,PA,Misc
Republican_Area,PA,Misc
City_Council_Commissioner_District,RI,City
County_Commissioner_District,RI,County
County_Supervisorial_District,RI,County
US_Congressional_District,RI,State
State_Senate_District,RI,State
State_House_District,RI,State
School_District,RI,Education
City_Council_Commissioner_District,SC,City
County_Commissioner_District,SC,County
County_Supervisorial_District,SC,County
US_Congressional_District,SC,State
State_Senate_District,SC,State
State_House_District,SC,State
School_Board_District,SC,Education
Unified_School_District,SC,Education
Water_Conservation_District,SC,Water
Designated_Market_Area_DMA,SC,Misc
City_Council_Commissioner_District,SD,City
County_Commissioner_District,SD,County
County_Supervisorial_District,SD,County
State_Senate_District,SD,State
State_House_District,SD,State
School_Board_District,SD,Education
School_District,SD,Education
Fire_District,SD,Fire
Designated_Market_Area_DMA,SD,Misc
City_Council_Commissioner_District,TN,City
County_Commissioner_District,TN,County
County_Supervisorial_District,TN,County
US_Congressional_District,TN,State
State_Senate_District,TN,State
State_House_District,TN,State
City_School_District,TN,Education
High_School_District,TN,Education
Unified_School_District,TN,Education
Judicial_District,TN,Judicial
Designated_Market_Area_DMA,TN,Misc
City_Council_Commissioner_District,TX,City
County_Commissioner_District,TX,County
County_Supervisorial_District,TX,County
US_Congressional_District,TX,State
State_Senate_District,TX,State
State_House_District,TX,State
City_School_District,TX,Education
Community_College,TX,Education
Community_College_SubDistrict,TX,Education
Board_of_Education_District,TX,Education
School_District,TX,Education
School_Subdistrict,TX,Education
Unified_School_District,TX,Education
District_Attorney,TX,Judicial
Judicial_Appellate_District,TX,Judicial
River_Water_District,TX,Water
Water_Agency,TX,Water
Water_Agency_SubDistrict,TX,Water
Water_Conservation_District,TX,Water
Water_Conservation_SubDistrict,TX,Water
Water_District,TX,Water
Water_SubDistrict,TX,Water
Fire_District,TX,Fire
Rapid_Transit_District,TX,Transit
Annexation_District,TX,Misc
Designated_Market_Area_DMA,TX,Misc
Drainage_District,TX,Misc
Emergency_Communication_911_District,TX,Misc
Emergency_Communication_911_SubDistrict,TX,Misc
Improvement_Landowner_District,TX,Misc
Levee_District,TX,Misc
Library_District,TX,Misc
Maintenance_District,TX,Misc
Municipal_Utility_District,TX,Misc
Other,TX,Misc
Police_District,TX,Misc
Port_District,TX,Misc
Port_SubDistrict,TX,Misc
Proposed_District,TX,Misc
Public_Utility_District,TX,Misc
Road_Maintenance_District,TX,Misc
City_Council_Commissioner_District,UT,City
County_Commissioner_District,UT,County
County_Supervisorial_District,UT,County
US_Congressional_District,UT,State
State_Senate_District,UT,State
State_House_District,UT,State
School_Board_District,UT,Education
School_District,UT,Education
School_Subdistrict,UT,Education
City_Council_Commissioner_District,VT,City
County_Commissioner_District,VT,County
County_Supervisorial_District,VT,County
State_Senate_District,VT,State
State_House_District,VT,State
School_District,VT,Education
Water_District,VT,Water
Fire_District,VT,Fire
Designated_Market_Area_DMA,VT,Misc
Police_District,VT,Misc
Sewer_District,VT,Misc
City_Council_Commissioner_District,VA,City
County_Commissioner_District,VA,County
County_Supervisorial_District,VA,County
US_Congressional_District,VA,State
State_Senate_District,VA,State
State_House_District,VA,State
